common,scientific,family,suborder,infraorder,parvorder,genus,species,
Hairy-eared dwarf lemur,Allocebus trichotis,Cheirogaleidae,Strepsirrhini,,,Allocebus,trichotis,
Coquerel's mouse lemur,Mirza coquereli,Cheirogaleidae,Strepsirrhini,,,Mirza,coquereli,
Northern giant mouse lemur,Mirza zaza,Cheirogaleidae,Strepsirrhini,,,Mirza,zaza,
Arnhold's mouse lemur,Microcebus arnholdi,Cheirogaleidae,Strepsirrhini,,,Microcebus,arnholdi,
Madame Berthe's mouse lemur,Microcebus berthae,Cheirogaleidae,Strepsirrhini,,,Microcebus,berthae,
Bongolava mouse lemur,Microcebus bongolavensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,bongolavensis,
Boraha mouse lemur,Microcebus boraha,Cheirogaleidae,Strepsirrhini,,,Microcebus,boraha,
Danfoss' mouse lemur,Microcebus danfossi,Cheirogaleidae,Strepsirrhini,,,Microcebus,danfossi,
Ganzhorn's mouse lemur,Microcebus ganzhorni,Cheirogaleidae,Strepsirrhini,,,Microcebus,ganzhorni,
Gerp's mouse lemur,Microcebus gerpi,Cheirogaleidae,Strepsirrhini,,,Microcebus,gerpi,
Reddish-gray mouse lemur,Microcebus griseorufus,Cheirogaleidae,Strepsirrhini,,,Microcebus,griseorufus,
Jolly's mouse lemur,Microcebus jollyae,Cheirogaleidae,Strepsirrhini,,,Microcebus,jollyae,
Jonah's mouse lemur,Microcebus jonahi,Cheirogaleidae,Strepsirrhini,,,Microcebus,jonahi,
Goodman's mouse lemur,Microcebus lehilahytsara,Cheirogaleidae,Strepsirrhini,,,Microcebus,lehilahytsara,
MacArthur's mouse lemur,Microcebus macarthurii,Cheirogaleidae,Strepsirrhini,,,Microcebus,macarthurii,
Claire's mouse lemur,Microcebus mamiratra,Cheirogaleidae,Strepsirrhini,,,Microcebus,mamiratra,
Bemanasy mouse lemur,Microcebus manitatra,Cheirogaleidae,Strepsirrhini,,,Microcebus,manitatra,
Margot Marsh's mouse lemur,Microcebus margotmarshae,Cheirogaleidae,Strepsirrhini,,,Microcebus,margotmarshae,
Marohita mouse lemur,Microcebus marohita,Cheirogaleidae,Strepsirrhini,,,Microcebus,marohita,
Mittermeier's mouse lemur,Microcebus mittermeieri,Cheirogaleidae,Strepsirrhini,,,Microcebus,mittermeieri,
Gray mouse lemur,Microcebus murinus,Cheirogaleidae,Strepsirrhini,,,Microcebus,murinus,
Pygmy mouse lemur,Microcebus myoxinus,Cheirogaleidae,Strepsirrhini,,,Microcebus,myoxinus,
Golden-brown mouse lemur,Microcebus ravelobensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,ravelobensis,
Brown mouse lemur,Microcebus rufus,Cheirogaleidae,Strepsirrhini,,,Microcebus,rufus,
Sambirano mouse lemur,Microcebus sambiranensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,sambiranensis,
Simmons' mouse lemur,Microcebus simmonsi,Cheirogaleidae,Strepsirrhini,,,Microcebus,simmonsi,
Anosy mouse lemur,Microcebus tanosi,Cheirogaleidae,Strepsirrhini,,,Microcebus,tanosi,
Northern rufous mouse lemur,Microcebus tavaratra,Cheirogaleidae,Strepsirrhini,,,Microcebus,tavaratra,
Montagne d'Ambre dwarf lemur,Cheirogaleus andysabini,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,andysabini,
Furry-eared dwarf lemur,Cheirogaleus crossleyi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,crossleyi,
Groves' dwarf lemur,Cheirogaleus grovesi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,grovesi,
Lavasoa dwarf lemur,Cheirogaleus lavasoensis,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,lavasoensis,
Greater dwarf lemur,Cheirogaleus major,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,major,
Fat-tailed dwarf lemur,Cheirogaleus medius,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,medius,
Lesser iron-gray dwarf lemur,Cheirogaleus minusculus,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,minusculus,
Ankarana dwarf lemur,Cheirogaleus shethi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,shethi,
Sibree's dwarf lemur,Cheirogaleus sibreei,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,sibreei,
Thomas' dwarf lemur,Cheirogaleus thomasi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,thomasi,
Amber Mountain fork-marked lemur,Phaner electromontis,Cheirogaleidae,Strepsirrhini,,,Phaner,electromontis,
Masoala fork-marked lemur,Phaner furcifer,Cheirogaleidae,Strepsirrhini,,,Phaner,furcifer,
Pale fork-marked lemur,Phaner pallescens,Cheirogaleidae,Strepsirrhini,,,Phaner,pallescens,
Pariente's fork-marked lemur,Phaner parienti,Cheirogaleidae,Strepsirrhini,,,Phaner,parienti,
Ring-tailed lemur,Lemur catta,Lemuridae,Strepsirrhini,,,Lemur,catta,
White-headed lemur,Eulemur albifrons,Lemuridae,Strepsirrhini,,,Eulemur,albifrons,
